,route,coordinates,route_locations
0,Acela,"[(42.348695, -71.059861), (42.34750349999999, -71.07493199999999), (42.2111905, -71.148665), (41.8305099, -71.4131785), (41.2973604, -72.9267668), (41.0468938, -73.5429146), (40.7509973, -73.9962784), (40.7344839, -74.1641817), (40.5693929, -74.3176876), (40.2186223, -74.7539603), (39.9557501, -75.1819889), (39.7369407, -75.55104829999999), (39.3074069, -76.6155478), (39.1921035, -76.6946308), (38.8979438, -77.0049635)]","Acela: Boston, MA; Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC"
1,Adirondack,"[(40.7509973, -73.9962784), (40.9355917, -73.9023392), (41.1894791, -73.8823805), (41.7056873, -73.9369972), (41.92126409999999, -73.95142190000001), (42.25404229999999, -73.79774689999999), (42.6413525, -73.7411492), (42.8144886, -73.94258359999999), (43.0828733, -73.81015479999999), (43.2693154, -73.5809676), (43.5544071, -73.4029881), (43.8523594, -73.3881202), (44.0423392, -73.45880300000002), (44.1871804, -73.4518436), (44.5237539, -73.4042876), (44.6966012, -73.4436437), (44.99496269999999, -73.37154679999999), (45.4989308, -73.5073671), (45.4999304, -73.5665831)]","Adirondack: New York, NY; Yonkers, NY; Croton-Harmon, NY; Poughkeepsie, NY; Rhinecliff, NY; Hudson, NY; Albany-Rensselaer, NY; Schenectady, NY; Saratoga Springs, NY; Fort Edward-Glens Falls, NY; Whitehall, NY; Ticonderoga, NY; Port Henry, NY; Westport, NY; Port Kent, NY; Plattsburgh, NY; Rouses Point, NY; St-Lambert, QC; Montreal, QC"
2,Amtrak Cascades,"[(44.0551578, -123.0922546), (44.6301042, -123.1029538), (44.93234440000001, -123.0281966), (45.3661689, -122.5959431), (45.5290803, -122.6767757), (45.6288834, -122.6855177), (46.143261, -122.9174564), (46.7168749, -122.9560185), (46.9913706, -122.7939031), (47.242155, -122.4201362), (47.46020559999999, -122.2407341), (47.5987199, -122.3298116), (47.8111305, -122.3841639), (47.975286, -122.1972745), (48.2428351, -122.3502633), (48.4185933, -122.3349576), (48.72046090000001, -122.5110495), (49.2737759, -123.097836)]","Amtrak Cascades: Eugene, OR; Albany, OR; Salem, OR; Oregon City, OR; Portland, OR; Vancouver, WA; Kelso-Longview, WA; Centralia, WA; Olympia-Lacey, WA; Tacoma, WA; Tukwila, WA; Seattle, WA; Edmonds, WA; Everett, WA; Stanwood, WA; Mount Vernon, WA; Bellingham, WA; Vancouver, BC"
3,Amtrak Hartford Line,"[(42.1060508, -72.5928997), (41.9142789, -72.6263365), (41.8519014, -72.6415476), (41.7687723, -72.6812852), (41.63554540000001, -72.765452), (41.5388032, -72.8013829), (41.46161, -72.82260649999999), (41.3051132, -72.92186149999999), (41.2973604, -72.9267668)]","Amtrak Hartford Line: Springfield, MA; Windsor Locks, CT; Windsor, CT; Hartford, CT; Berlin, CT; Meriden, CT; Wallingford, CT; New Haven, CT; New Haven, CT"
4,Auto Train,"[(38.70843199999999, -77.2205668), (28.808633, -81.2914101)]","Auto Train: Lorton, VA; Sanford, FL"
5,California Zephyr,"[(41.8786625, -87.6403072), (41.7798754, -88.1459757), (40.1975275, -100.6255059), (40.8357627, -115.7513164), (40.9732934, -117.7296671), (41.3852612, -89.4669248), (40.9446655, -90.3639127), (40.8057135, -91.10177080000001), (40.9712103, -91.5504888), (41.0187964, -92.4151203), (41.037778, -93.7582486), (41.0570373, -94.3624947), (41.2497909, -95.9272259), (40.8158468, -96.71392610000001), (40.58413210000001, -98.38763), (40.4361094, -99.371292), (40.1975275, -100.6255059), (40.2605257, -103.8014918), (39.7532037, -105.0001786), (39.9475842, -105.8176206), (40.0841356, -105.935498), (39.5480187, -107.323191), (39.0646037, -108.5705833), (38.9924432, -110.1651437), (39.6839805, -110.8537552), (40.2258004, -111.6746992), (40.7616715, -111.9084809), (40.8357627, -115.7513164), (40.9732934, -117.7296671), (39.5287411, -119.8114917), (39.3275289, -120.185436), (39.0990124, -120.9532317), (38.7495518, -121.286743), (38.5841528, -121.5006435), (38.54343170000001, -121.7377798), (38.0190895, -122.1388315), (37.8404464, -122.2917273)]","California Zephyr: Chicago, IL; Naperville, IL; McCook, NE; Elko, NV; Winnemucca, NV; Princeton, IL; Galesburg, IL; Burlington, IA; Mount Pleasant, IA; Ottumwa, IA; Osceola, IA; Creston, IA; Omaha, NE; Lincoln, NE; Hastings, NE; Holdrege, NE; McCook, NE; Fort Morgan, CO; Denver, CO; Fraser-Winter Park, CO; Granby, CO; Glenwood Springs, CO; Grand Junction, CO; Green River, UT; Helper, UT; Provo, UT; Salt Lake City, UT; Elko, NV; Winnemucca, NV; Reno, NV; Truckee, CA; Colfax, CA; Roseville, CA; Sacramento, CA; Davis, CA; Martinez, CA; Emeryville, CA"
6,Capitol Corridor,"[(38.9039915, -121.0834116), (38.7912937, -121.2371932), (38.7495518, -121.286743), (38.5841528, -121.5006435), (38.54343170000001, -121.7377798), (38.2867319, -121.9690528), (38.2434425, -122.0412006), (38.0190895, -122.1388315), (37.9372561, -122.3530529), (37.8670348, -122.3005735), (37.8404464, -122.2917273), (37.793751, -122.2714589), (37.752493, -122.1982281), (37.6659579, -122.0993518), (37.5591584, -122.0073548), (37.4065267, -121.9670054), (37.3534975, -121.9363061), (37.3298351, -121.9026401)]","Capitol Corridor: Auburn, CA; Rocklin, CA; Roseville, CA; Sacramento, CA; Davis, CA; Fairfield-Vacaville, CA; Suisun-Fairfield, CA; Martinez, CA; Richmond, CA; Berkeley, CA; Emeryville, CA; Oakland, CA; Oakland, CA; Hayward, CA; Fremont, CA; Santa Clara, CA; Santa Clara, CA; San Jose, CA"
7,Capitol Limited,"[(38.8979438, -77.0049635), (39.0845077, -77.1460784), (39.3232101, -77.7297743), (39.4585954, -77.96088189999999), (39.65053109999999, -78.7579153), (40.0197397, -79.5907588), (40.4447574, -79.9921524), (40.9218213, -81.0958519), (41.50567789999999, -81.6964167), (41.37016759999999, -82.0964508), (41.44068, -82.71855), (41.6381416, -83.5412899), (41.4317472, -85.0243002), (41.6806485, -85.97176089999999), (41.6782788, -86.2874769), (41.8786625, -87.6403072)]","Capitol Limited: Washington, DC; Rockville, MD; Harpers Ferry, WV; Martinsburg, WV; Cumberland, MD; Connellsville, PA; Pittsburgh, PA; Alliance, OH; Cleveland, OH; Elyria, OH; Sandusky, OH; Toledo, OH; Waterloo, IN; Elkhart, IN; South Bend, IN; Chicago, IL"
8,Cardinal,"[(40.7509973, -73.9962784), (40.7344839, -74.1641817), (40.2186223, -74.7539603), (39.9557501, -75.1819889), (39.7369407, -75.55104829999999), (39.3074069, -76.6155478), (38.8979438, -77.0049635), (38.806422, -77.0622106), (38.750134, -77.47272939999999), (38.4721927, -77.9934482), (38.0314614, -78.4918209), (38.1476654, -79.0727412), (37.8143336, -79.8281423), (37.7865747, -80.3038567), (37.7246166, -80.6481781), (37.6747772, -80.8922735), (37.856506, -81.0606181), (37.96, -81.0699999), (38.1820971, -81.323856), (38.3463227, -81.6384011), (38.4159306, -82.4396658), (38.4810273, -82.6399459), (38.7209947, -82.9625688), (38.6514256, -83.7704232), (39.1100038, -84.53745409999999), (39.6444689, -85.1312056), (39.7618099, -86.16051399999999), (40.044813, -86.8995886), (40.419868, -86.8962574), (40.943281, -87.155121), (41.5154615, -87.5183201), (41.8786625, -87.6403072)]","Cardinal: New York, NY; Newark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; Washington, DC; Alexandria, VA; Manassas, VA; Culpeper, VA; Charlottesville, VA; Staunton, VA; Clifton Forge, VA; White Sulphur Springs, WV; Alderson, WV; Hinton, WV; Prince, WV; Thurmond, WV; Montgomery, WV; Charleston, WV; Huntington, WV; Ashland, KY; South Shore-South Portsmouth, KY; Maysville, KY; Cincinnati, OH; Connersville, IN; Indianapolis, IN; Crawfordsville, IN; Lafayette, IN; Rensselaer, IN; Dyer, IN; Chicago, IL"
9,Carolinian / Piedmont,"[(40.7509973, -73.9962784), (40.7344839, -74.1641817), (40.2186223, -74.7539603), (39.9557501, -75.1819889), (39.7369407, -75.55104829999999), (39.3074069, -76.6155478), (38.8979438, -77.0049635), (38.806422, -77.0622106), (38.5213852, -77.29363579999999), (38.2960889, -77.4612034), (37.6173376, -77.4976208), (37.2416398, -77.4288964), (35.9379504, -77.7976305), (35.8057105, -77.8579381), (35.5326438, -78.2801072), (35.7772597, -78.6473649), (35.7879989, -78.7825819), (35.9974328, -78.90706519999999), (36.09419, -79.4346541), (36.0692113, -79.78807859999999), (35.9572874, -80.00610999999999), (35.6673907, -80.4660691), (35.495981, -80.62466979999999), (35.2412903, -80.8226901)]","Carolinian / Piedmont: New York, NY; Newark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; Washington, DC; Alexandria, VA; Quantico, VA; Fredericksburg, VA; Richmond, VA; Petersburg, VA; Rocky Mount, NC; Wilson, NC; Selma-Smithfield, NC; Raleigh, NC; Cary, NC; Durham, NC; Burlington, NC; Greensboro, NC; High Point, NC; Salisbury, NC; Kannapolis, NC; Charlotte, NC"
