,origin_code,origin_name,origin_coords,origin_location,dest_code,dest_name,dest_coords,dest_location,route,route_locations,distance_mi,co2e_kg,co2e_kg_round,co2e_lb
0,BOS,"Boston, MA","(42.348695, -71.059861)","Boston, Massachusetts",BOS,"Boston, MA","(42.348695, -71.059861)","Boston, Massachusetts",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",0.0,0.0,0,0
1,BOS,"Boston, MA","(42.348695, -71.059861)","Boston, Massachusetts",RTE,"Route 128, MA","(42.2111905, -71.148665)","Westwood, Massachusetts",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",10.529524555258918,1.918479373968175,1,4
2,RTE,"Route 128, MA","(42.2111905, -71.148665)","Westwood, Massachusetts",PVD,"Providence, RI","(41.8305099, -71.4131785)","Providence, Rhode Island",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",29.60009001707708,5.393136401111444,5,11
3,PVD,"Providence, RI","(41.8305099, -71.4131785)","Providence, Rhode Island",NHV,"New Haven, CT","(41.2973604, -72.9267668)","New Haven, Connecticut",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",86.48332246357229,15.757261352862871,15,34
4,NHV,"New Haven, CT","(41.2973604, -72.9267668)","New Haven, Connecticut",STM,"Stamford, CT","(41.0468938, -73.5429146)","Stamford, Connecticut",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",36.41940275325714,6.635615181643451,6,14
5,STM,"Stamford, CT","(41.0468938, -73.5429146)","Stamford, Connecticut",NYP,"New York, NY","(40.7509973, -73.9962784)","New York, New York",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",31.28220403048752,5.699617574354826,5,12
6,NYP,"New York, NY","(40.7509973, -73.9962784)","New York, New York",NWK,"Newark, NJ","(40.7344839, -74.1641817)","Newark, New Jersey",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",8.863225014704398,1.6148795976791412,1,3
7,NWK,"Newark, NJ","(40.7344839, -74.1641817)","Newark, New Jersey",MET,"Metropark, NJ","(40.5693929, -74.3176876)","Iselin, New Jersey",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",13.959334899194074,2.5433908186331604,2,5
8,MET,"Metropark, NJ","(40.5693929, -74.3176876)","Iselin, New Jersey",TRE,"Trenton, NJ","(40.2186223, -74.7539603)","Trenton, New Jersey",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",33.382970106621684,6.082377153426471,6,13
9,TRE,"Trenton, NJ","(40.2186223, -74.7539603)","Trenton, New Jersey",PHL,"Philadelphia, PA","(39.9557501, -75.1819889)","Philadelphia, Pennsylvania",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",29.014097927960993,5.286368642474493,5,11
10,PHL,"Philadelphia, PA","(39.9557501, -75.1819889)","Philadelphia, Pennsylvania",WIL,"Wilmington, DE","(39.7369407, -75.55104829999999)","Wilmington, Delaware",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",24.735538567722255,4.506815127038995,4,9
11,WIL,"Wilmington, DE","(39.7369407, -75.55104829999999)","Wilmington, Delaware",BAL,"Baltimore, MD","(39.3074069, -76.6155478)","Baltimore, Maryland",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",64.02762492632463,11.66583326157635,11,25
12,BAL,"Baltimore, MD","(39.3074069, -76.6155478)","Baltimore, Maryland",BWI,"BWI Marshall Airport, MD","(39.1921035, -76.6946308)","Baltimore, Maryland",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",9.020699183552688,1.6435713912432999,1,3
13,BWI,"BWI Marshall Airport, MD","(39.1921035, -76.6946308)","Baltimore, Maryland",WAS,"Washington, DC","(38.8979438, -77.0049635)","Washington, DC",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",26.275517008467197,4.787399198942723,4,10
14,WAS,"Washington, DC","(38.8979438, -77.0049635)","Washington, DC",WAS,"Washington, DC","(38.8979438, -77.0049635)","Washington, DC",Acela,"Acela: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",0.0,0.0,0,0
